Designator,Mid X,Mid Y,Rotation,Layer
D1,112.7125,-84.1375,90.0,bottom
D10,131.7625,-122.2375,90.0,bottom
D11,150.8125,-122.2375,90.0,bottom
D12,169.70375,-103.1875,90.0,bottom
D13,112.6325,-141.2875,90.0,bottom
D14,131.6825,-141.2875,90.0,bottom
D15,150.7325,-141.2875,90.0,bottom
D16,149.86,-150.8125,90.0,bottom
D17,122.8725,-155.575,90.0,bottom
D2,136.525,-84.1375,90.0,bottom
D3,153.9875,-150.875,90.0,bottom
D4,165.1,-84.1375,90.0,bottom
D5,112.7125,-103.1875,90.0,bottom
D6,131.7625,-103.1875,90.0,bottom
D7,150.8125,-103.1875,90.0,bottom
D8,169.70375,-122.2375,90.0,bottom
D9,112.7125,-122.2375,90.0,bottom
U1,181.13375,-86.36,0.0,top
